 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
 00084691          | PUR0783342 | D355P22           | D355P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR9
 00083979          | PUR0783342 | D355P22           | D355P22                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACR9
 00080317          | PUR0715561 | HP5SK02           | HP5SK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT10
 00080318          | PUR0715561 | HP5ZK02           | HP5ZK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT11
 00081501          | PUR0988321 | G42GGB2           | G42GGB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVRACT12
 00081500          | PUR0988321 | G42HGB2           | G42HGB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVRACT13
 00081499          | PUR0988321 | G42JGB2           | G42JGB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVRACT14
                   |            |                   | 6ZTSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT15
                   |            |                   | 6ZVRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT16
                   |            |                   | 6ZTQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT17
                   |            |                   | 6ZRRN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT18
                   |            |                   | 6ZQSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT19
                   |            |                   | 6ZNQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT20
                   |            |                   | 6ZNSN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT21
                   |            |                   | 6ZQQN23                                      | DELL          | POWEREDGE R640      | SERVER   | EVRACT22
 00080314          | PUR0715561 | HP5WK02           | HP5WK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT7
 00080315          | PUR0715561 | HP5XK02           | HP5XK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT8
 00080316          | PUR0715561 | HP6SK02           | HP6SK02                                      | DELL          | POWEREDGE R620      | SERVER   | EVRACT9
                   |            |                   | BVQDS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX01
                   |            |                   | BVQCS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX02
                   |            |                   | BVQFS52                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX03
                   |            |                   | 7DWYPD2                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX04
                   |            |                   | 7DWZPD2                                      | DELL          | POWEREDGE R630      | SERVER   | EVSPLIDX05
 00084649          | PUR1323640 | HM0CXQ2           | HM0CXQ2                                      | DELL          | POWEREDGE R640      | SERVER   | EVSPLIDX06
