1                name               |           model            |  asset_type  | serial_number 
156  LEV-RTR-7                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHD

157  LEV-RTR-8                        | N7K-SUP2E                  | ROUTERMODULE | JAE1916052P

158  LEV-RTR-8                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHB

159  LEV-RTR-8                        | N7K-SUP2E                  | ROUTERMODULE | JAE1916051K

160  LEV-RTR-8                        | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGMF

161  LEV-RTR-8                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1626BHNN

162  LEV-RTR-8                        | N7K-M108X2-12L             | ROUTERMODULE | JAF1626BHQQ

163  LEV-RTR-8                        | N7K-F248XP-25E             | ROUTERMODULE | JAE203804JP

164  LURIE-RTR-1                      | VS-SUP2T-10G               | ROUTERMODULE | SAL1751J8NR

165  LURIE-RTR-1                      | WS-X6724-SFP               | ROUTERMODULE | SAL08486ASM

166  LURIE-RTR-1                      | VS-SUP2T-10G               | ROUTERMODULE | SAL1742EH1Y

167  LURIE-RTR-1                      | WS-X6724-SFP               | ROUTERMODULE | SAL09148LHS

168  LURIE-RTR-1                      | WS-X6704-10GE              | ROUTERMODULE | SAL1530KYGS

169  LURIE-RTR-1                      | WS-X6704-10GE              | ROUTERMODULE | SAL09030PE4\

170  LURIE-RTR-1                      | WS-X6704-10GE              | ROUTERMODULE | SAL1331UWZ3

171  LURIE-RTR-3                      | N7K-SUP2E                  | ROUTERMODULE | JAE1916052S

172  LURIE-RTR-3                      | N7K-F248XP-25E             | ROUTERMODULE | JAF1821AKPC

173  LURIE-RTR-3                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1623AEGT

174  LURIE-RTR-3                      | N7K-M108X2-12L             | ROUTERMODULE | JAF1625ADSM

175  LURIE-RTR-3                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGKF

176  LURIE-RTR-3                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1622AMBC

177  LURIE-RTR-3                      | N7K-SUP2E                  | ROUTERMODULE | JAE1916052A

178  LURIE-RTR-3                      | N7K-M108X2-12L             | ROUTERMODULE | JAF1625ADGD

179  LURIE-RTR-4                      | N7K-SUP2E                  | ROUTERMODULE | JAE19160538

180  LURIE-RTR-4                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGJS

181  LURIE-RTR-4                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGHM

182  LURIE-RTR-4                      | N7K-F248XP-25E             | ROUTERMODULE | JAF1821AKJJ

183  LURIE-RTR-4                      | N7K-M108X2-12L             | ROUTERMODULE | JAF1625AEBH

184  LURIE-RTR-4                      | N7K-M108X2-12L             | ROUTERMODULE | JAF1623ABBT

185  LURIE-RTR-4                      | N7K-SUP2E                  | ROUTERMODULE | JAE1916051C

186  LURIE-RTR-4                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1623AEJA

187  LURIE-RTR-5                      | N7K-M148GS-11L             | ROUTERMODULE | JAF1622ALSM

188  LURIE-RTR-5                      | N7K-SUP2E                  | ROUTERMODULE | JAF1723AQPP

189  LURIE-RTR-5                      | N7K-SUP2E                  | ROUTERMODULE | JAF1810AJKJ

190  LURIE-RTR-5                      | N7K-M108X2-12L             | ROUTERMODULE | JAF1625AEBD

191  LURIE-RTR-5                      | N7K-M108X2-12L             | ROUTERMODULE | JAF1624AHRR

192  LURIE-RTR-5                      | N7K-M202CF-22L             | ROUTERMODULE | JAE202200TX

