name,model,serial,ip,software,module_ip,module_num,firmware,hw,last_seen
FSEARLE-2-139-ESW-1,WS-C3850-24P-L,FOC1923U0AW,10.100.6.93,DENALI 16.3.9,0.0.0.0,5,,V06,4/27/20 1:00
FSEARLE-2-239-ESW-1,WS-C3850-48P-L,FOC1740U00B,10.100.6.75,DENALI 16.3.9,0.0.0.0,0,,V02,4/27/20 1:00
FSEARLE-2-339-ESW-1,3850-STACK,FOC1739V3BY,10.100.6.94,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
FSEARLE-2-339-ESW-1,WS-C3850-48P-L,FOC1739X10V,10.100.6.94,DENALI 16.3.9,0.0.0.0,1,,V02,4/27/20 1:00
FSEARLE-2-339-ESW-1,WS-C3850-48P-L,FOC1739X10T,10.100.6.94,DENALI 16.3.9,0.0.0.0,2,,V02,4/27/20 1:00
FSEARLE-2-339-ESW-1,WS-C3850-48P-L,FOC1739X0ZL,10.100.6.94,DENALI 16.3.9,0.0.0.0,3,,V02,4/27/20 1:00
FSEARLE-2-339-ESW-1,WS-C3850-48P-L,FOC1739X10X,10.100.6.94,DENALI 16.3.9,0.0.0.0,4,,V02,4/27/20 1:00
FSEARLE-2-339-ESW-1,WS-C3850-48P-L,FOC1739V3BY,10.100.6.94,DENALI 16.3.9,0.0.0.0,5,,V02,4/27/20 1:00
FSEARLE-3-239-ESW-1,WS-C3850-48P-L,FOC1739U0TW,10.100.6.95,DENALI 16.3.9,0.0.0.0,0,,V02,4/27/20 1:00
FSEARLE-3-339-ESW-1,3850-STACK,FOC1739U0XG,10.100.6.84,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
FSEARLE-3-339-ESW-1,WS-C3850-48P-L,FOC1750U10B,10.100.6.84,DENALI 16.3.9,0.0.0.0,1,,V03,4/27/20 1:00
FSEARLE-3-339-ESW-1,WS-C3850-48P-L,FOC1752Y0A8,10.100.6.84,DENALI 16.3.9,0.0.0.0,2,,V03,4/27/20 1:00
FSEARLE-3-339-ESW-1,WS-C3850-48P-L,FOC1739U0XG,10.100.6.84,DENALI 16.3.9,0.0.0.0,3,,V02,4/27/20 1:00
FSEARLE-3-339-ESW-1,WS-C3850-48P-L,FOC1750U104,10.100.6.84,DENALI 16.3.9,0.0.0.0,4,,V03,4/27/20 1:00
FSEARLE-B-ESW-1,3850-STACK,FOC1740U00P,10.100.6.96,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1739X11C,10.100.6.96,DENALI 16.3.9,0.0.0.0,1,,V02,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1740U00V,10.100.6.96,DENALI 16.3.9,0.0.0.0,2,,V02,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1740X00U,10.100.6.96,DENALI 16.3.9,0.0.0.0,3,,V02,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1740U00K,10.100.6.96,DENALI 16.3.9,0.0.0.0,4,,V02,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1733U061,10.100.6.96,DENALI 16.3.9,0.0.0.0,5,,V02,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1733X05T,10.100.6.96,DENALI 16.3.9,0.0.0.0,6,,V02,4/27/20 1:00
FSEARLE-B-ESW-1,WS-C3850-48P-L,FOC1739X11J,10.100.6.96,DENALI 16.3.9,0.0.0.0,7,,V02,4/27/20 1:00
ALLSN-1E-ESW-2,3850-STACK,FOC2001U1D3,10.100.10.31,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
ALLSN-1E-ESW-2,WS-C3850-48P-L,FOC2001U1D3,10.100.10.31,DENALI 16.3.9,0.0.0.0,1,,V06,4/27/20 1:00
ALLSN-1E-ESW-2,WS-C3850-48P-L,FOC2219U1E7,10.100.10.31,DENALI 16.3.9,0.0.0.0,2,,V07,4/27/20 1:00
2020RDG-TAPEROOM-ESW-7,WS-C3850-48P-L,FCW2050C05L,10.100.10.98,DENALI 16.3.9,0.0.0.0,0,,V07,4/27/20 1:00
676STCLR-6-ESW-1,WS-C3850-24P-L,FOC1743X1B1,10.100.24.53,DENALI 16.3.9,0.0.0.0,0,,V02,4/27/20 1:00
LURIE-RTR-1,WS-X6704-10GE,SAL09030PE4\,199.249.169.166,,4/27/20 1:00,3,15.1(2)SY12,0,1.6
LURIE-RTR-1,WS-X6724-SFP,SAL09148LHS,199.249.169.166,15.1(2)SY12,0.0.0.0,2,12.2(14R)S5,2.3,4/27/20 1:00
LURIE-RTR-1,WS-X6704-10GE,SAL1530KYGS,199.249.169.166,15.1(2)SY12,0.0.0.0,1,12.2(14R)S5,3.2,4/27/20 1:00
2211CAMPUS-L416-ESW-2,WS-C3850-12X48U-L,FCW2044D0Q2,10.100.14.80,DENALI 16.3.9,0.0.0.0,8,,V02,4/27/20 1:00
WIEB-423-ESW-2,WS-C3850-48P-L,FOC1926X16D,10.100.22.44,DENALI 16.3.9,0.0.0.0,4,,V05,4/27/20 1:00
FWALKER-3-1-ESW-1,3750-STACK,0X17,10.100.8.114,15.0(2)SE2,0.0.0.0,0,,,4/27/20 1:00
FWALKER-3-1-ESW-1,WS-C3750X-48P,FDO1537R0PS,10.100.8.114,15.0(2)SE2,0.0.0.0,1,,V02,4/27/20 1:00
FWALKER-3-1-ESW-1,WS-C3750X-48P,FDO1630R013,10.100.8.114,15.0(2)SE2,0.0.0.0,2,,V03,4/27/20 1:00
FWALKER-3-1-ESW-1,WS-C3750X-48P,FDO1629V25P,10.100.8.114,15.0(2)SE2,0.0.0.0,3,,V03,4/27/20 1:00
FWALKER-3-2-ESW-2,3850-STACK,FOC1833X10F,10.100.8.115,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
