               name               |           model            |  asset_type  | serial_number 
 RYAN-TRAIN-W104-ESW-1            | WS-C3850-48P-L             | SWITCH       | FCW2143D0QU
 RYAN-WEST-LOT-CROSSWALK-ESW-1    | CISCOIE20004TSGB           | SWITCH       | FDO2038T0RA
 RYAN-WEST-LOT-SOUTH-ESW-1        | CISCOIE20004TSGB           | SWITCH       | FDO2038T0R9
 SAILINGCTR-1-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2142C1S3
 SARGENT-1N-ESW-1                 | WS-C3850-24P-L             | SWITCH       | FOC1833U0NU
 SARGENT-1N-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1803Y5X7
 SARGENT-2N-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1807U07R
 SARGENT-2S-ESW-1                 | WS-C3750X-48P              | SWITCH       | FDO1650P189
 SARGENT-3N-ESW-1                 | WS-C3850-24P-L             | SWITCH       | FCW1918D06Q
 SARGENT-3N-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC2050U06U
 SARGENT-3S-ESW-1                 | WS-C3750X-48P              | SWITCH       | FDO1649H2JJ
 SARGENT-4N-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FOC1807U0RF
 SARGENT-4S-ESW-1                 | WS-C3850-24P-L             | SWITCH       | FJB2331H0NB
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2220U07P
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801U0JV
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1828U16X
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801X0LF
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801X0LR
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801Y3EY
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1803X0QH
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801X0L3
 SCOTT-IDF-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1801X0LS
 SCOTT-IDF-ESW-2                  | WS-C3850-48P-L             | SWITCH       | FCW1901C0KX
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1718Z1G8
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1632P0LE
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1701R0C5
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1650Z04W
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1703R1U9
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1650X00K
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1537R0PU
 SEARLE-10-405-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1528P0GA
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FOC1928X020
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FCW2001C1BT
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FCW2118F115
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FOC2001X124
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FOC1930U0ED
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FCW2001C0VU
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FCW2001D16E
 SEARLE-10-405-ESW-2              | WS-C3850-48P-L             | SWITCH       | FCW1926C0HC
 SEARLE-12-ESW-2                  | WS-C3850-48P-L             | SWITCH       | FOC2142U1LW
 SEARLE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FOC2143U0NP
 SEARLE-2-ESW-1                   | WS-C3850-48P-L             | SWITCH       | FCW2143D0SM
