Cd 1                  name                 |       manufacturer       |            model             | serial_number  |  campus  |                building                | room_number  |          department          | last_edit_date_time |           device_type            
108  E-2020 PDR-W48                       | EATON/POWERWARE          | 253045-001                   | EC151RXX25     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

109  E-2020 PDR-W62                       | EATON/POWERWARE          | 253045-001                   | EC082RXX01     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDR

110  E-2020 PDR-W30                       | EATON/POWERWARE          | 253045-001                   | EE495RXX02     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 13:42     | PDR

111  E-2020 PDR-W52                       | EATON/POWERWARE          | 253045-001                   | EE495RXX01     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 13:43     | PDR

112  E-2020 PDU-RS-1                      | EATON/POWERWARE          | 297239-001                   | EC495RXX03     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDU

113  E-2020 PDU-STS-1                     | LAYERZERO POWER SYSTEMS  | EPODS TYPE X                 | 10579-1        | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/21/2015 10:58     | PDU

114  E-2020 PDU-RS-3                      | EATON/POWERWARE          | 297239-001                   | EE502SXX01     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 13:44     | PDU

115  E-2020 PDU-DC-1                      | EATON/POWERWARE          | 297239-001                   | EC495RXX05     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDU

116  E-2020 PDU-DC-2                      | EATON/POWERWARE          | 297239-001                   | EC495RXX06     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDU

117  E-2020 PDU-DC-5                      | EATON/POWERWARE          | 297239-001                   | EB526RXX01     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 3/23/2017 14:06     | PDU

118  E-2020 PDU-DC-6                      | EATON/POWERWARE          | 297239-001                   | EC182RXX06     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDU

119  E-2020 PDU-RS-2                      | EATON/POWERWARE          | 297239-001                   | EC495RXX04     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/10/2015 9:55      | PDU

120  E-2020 PDU-DC-3                      | LAYERZERO POWER SYSTEMS  | EPODS TYPE X                 | 10586-1        | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/21/2015 10:58     | PDU

121  E-2020 PDU-RS-4                      | EATON/POWERWARE          | 297239-001                   | EE511SXX01     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/10/2015 13:45     | PDU

122  E-2020 PDU-DC-4                      | LAYERZERO POWER SYSTEMS  | EPODS TYPE X                 | 10587-1        | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/21/2015 10:58     | PDU

123  E-2020 PUMP-2                        | EMERSON/LIEBERT          | JPM2531J                     | Z0804140646    | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | PUMP

