"Object_Type","Name","FQDN","Guest","CPU_Socket_Count","Cores_Per_Socket","Total_Cores_Assigned","Memory_GB","Provisioned_Space_GB","Used_Space_GB","NIC_Count","Network_Name","Datastore_Path","DataCenter","Cluster_Name","vDC_Name"
"VM","storagegateway","storagegateway2.wcas.northwestern.edu",,"2","1","2","16","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","Powell.library.northwestern.edu","POWELL.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","4","1","4","16","116","113","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","cloud2","cloud2-mads.mmlc.northwestern.edu",,"4","1","4","2","0","0","2","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","dc1",,,"2","1","2","8","48","40","1","dvPortGroup_VMNET_PCE",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","naise.mcc-2012","NAISE.mcc.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","1","1","1","4","644","128","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","mainwp","mainwp.soc.northwestern.edu","Red Hat Enterprise Linux 7 (64-bit)","1","1","1","4","79","67","1","dvPortGroup_VMNET_SoC1",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
"VM","law-sb","law-sb.law.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","8","1","8","32","220","189","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","zabbix","zabbix","Red Hat Enterprise Linux 7 (64-bit)","1","4","4","8","48","28","1","dvPortGroup_VMNET_SoC1",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
"VM","Michigan.library.northwestern.edu","Michigan.library.northwestern.edu","Microsoft Windows Server 2008 R2 (64-bit)","1","2","2","4","54","54","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","Daily","daily.medill.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","3","2","6","9","73","32","1","dvPortGroup_VMNET_Medill",,"NUCLOUD","EVVCENTERCLOUD1","Medill_vDC"
"VM","TEST",,"Other 3.x Linux (64-bit)","1","1","1","1","17","16","1","dvPortGroup_VMNET_Student_Affairs_VLAN2471",,"NUCLOUD","EVVCENTERCLOUD1","StudentAffairs_vDC"
"VM","law-depts","law-depts.law.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","4","1","4","8","2904","2903","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","CS-POC-UBUNTU-1","CS-POC-Ubuntu",,"1","1","1","4","0","0","1","dvPortGroup_ISSC",,"NUCLOUD",,"ISSC-vDC"
"VM","mail.mccormick-16.04","mail","Ubuntu Linux (64-bit)","2","1","2","8","64","59","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","Pdox","PDox.ci.northwestern.edu","Microsoft Windows Server 2008 R2 (64-bit)","2","2","4","7","66","38","1","dvPortGroup_VMNET_Medill",,"NUCLOUD","EVVCENTERCLOUD1","Medill_vDC"
"VM","sus.mcc-2016","SUS.mcc.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","4","1","4","12","392","299","1","dvPortGroup_VMNET_McCormick",,"NUCLOUD","EVVCENTERCLOUD1","McCormick"
"VM","Bookworm02.library.northwestern.edu","BOOKWORM02.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","825","658","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
