            asset_name             |     asset_type     |       make       |                 model                 |                         serial_number                          |   ip_address    |                              business_service                              |    asset_fucntion    | support_model  |  owner_department   |             owner_contact              |      technical_contact      | date_of_last_record_verification | installation_ticket | decommission_ticket | location | cabinet 
 CHCSPSFAST2                       | SERVER             | DELL             | POWEREDGE R720XD                      | 5FWC5X1                                                        | 165.124.43.202  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          | SCOTT PITTS                 | 2019-01-23 11:04:35-05           |                     |                     | CHDC     | 0215.27
 CHCSPSSQL1                        | SERVER             | DELL             | POWEREDGE R710                        | F19GJS1                                                        | 129.105.68.237  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:51-05           |                     |                     | CHDC     | 0215.28
 CHCSPSSQL2                        | SERVER             | DELL             | POWEREDGE R710                        | F1CCJS1                                                        | 129.105.68.238  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:30-05           |                     |                     | CHDC     | 0215.25
 CHDC-021533-LEAF-2213             | NETWORK SWITCH     | CISCO SYSTEMS    | NEXUS N9K-C93180YC-FX                 | FDO23240EGM                                                    |                 |                                                                            | CORE NETWORK         |                | SO                  | NUIT-CI-TNS-DATANETWORK                | TNS-NETWORK                 | 2020-06-30 12:58:41-04           | 997262              |                     | CHDC     | 0215.33
 CHDC-232-021525-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12480396                                                    |                 |                                                                            | EDGE NETWORK         |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:24:17-04           |                     |                     | CHDC     | 0215.25
 CHDC-232-021525-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12482247                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:24:49-04           |                     |                     | CHDC     | 0215.25
 CHDC-232-021526-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-52                          | JPE12530462                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:26:37-04           |                     |                     | CHDC     | 0215.26
 CHDC-232-021526-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-52                          | JPE12530431                                                    |                 |                                                                            | EDGE NETWORK         |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:27:00-04           |                     |                     | CHDC     | 0215.26
 CHDC-232-021527-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-52                          | JPE13030313                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:27:25-04           |                     |                     | CHDC     | 0215.27
 CHDC-232-021527-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-52                          | JPE12530439                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:27:47-04           |                     |                     | CHDC     | 0215.27
 CHDC-232-021528-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451288                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:28:12-04           |                     |                     | CHDC     | 0215.28
 CHDC-232-021528-ESW-2             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12451162                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:28:31-04           |                     |                     | CHDC     | 0215.28
 CHDC-232-021533-ESW-1             | NETWORK SWITCH     | ARISTA NETWORKS  | DCS-7050T-36                          | JPE12421103                                                    |                 |                                                                            | EDGE NETWORK         | INFRASTRUCTURE | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-03-27 13:28:56-04           |                     |                     | CHDC     | 0215.33
