             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
 EVESXCLOUD46                  | SERVER            | DELL             | POWEREDGE R630          | 7YZXC42                                      | Q34     | ADMIN
 EVESXCLOUD47                  | SERVER            | DELL             | POWEREDGE R630          | 7YZ1D42                                      | Q34     | ADMIN
 EVESXCLOUD48                  | SERVER            | DELL             | POWEREDGE R630          | 7ZS5D42                                      | O34     | ADMIN
 EVESXCLOUD49                  | SERVER            | DELL             | POWEREDGE R630          | 7YZZC42                                      | V34     | ADMIN
 EVESXTNSC01N02                | SERVER            | DELL             | POWEREDGE R730XD        | 5XQ4V52                                      | S39     | ADMIN
 EVESXTNSC01N03                | SERVER            | DELL             | POWEREDGE R730XD        | 5XQ5V52                                      | S39     | ADMIN
 EVITCSPDC                     | SERVER            | DELL             | POWEREDGE R640          | 12S3HQ2                                      | R39     | ADMIN
 EVNBMS01                      | SERVER            | DELL             | POWEREDGE R640          | 4GS9HQ2                                      | S34     | ADMIN
 EVNBMS02                      | SERVER            | DELL             | POWEREDGE R640          | 4GRHHQ2                                      | S34     | ADMIN
 EVNBMSTR01                    | SERVER            | DELL             | POWEREDGE R640          | 4GSCHQ2                                      | V34     | ADMIN
 EVPUMHOST                     | SERVER            | DELL             | POWEREDGE R630          | 7N98FB2                                      | R39     | ADMIN
 EVRACP10                      | SERVER            | DELL             | POWEREDGE R620          | HP7YK02                                      | V34     | ADMIN
 EVRACP11                      | SERVER            | DELL             | POWEREDGE R640          | 6ZSRN23                                      | P34     | ADMIN
 EVRACP12                      | SERVER            | DELL             | POWEREDGE R640          | 6ZSSN23                                      | P34     | ADMIN
 EVRACP13                      | SERVER            | DELL             | POWEREDGE R640          | 6ZRSN23                                      | P34     | ADMIN
 EVRACP14                      | SERVER            | DELL             | POWEREDGE R640          | 6ZVQN23                                      | P34     | ADMIN
 EVRACP6                       | SERVER            | DELL             | POWEREDGE R620          | HP6TK02                                      | V34     | ADMIN
 EVRACP7                       | SERVER            | DELL             | POWEREDGE R620          | HP9TK02                                      | V34     | ADMIN
 EVRACP8                       | SERVER            | DELL             | POWEREDGE R620          | HP8XK02                                      | V34     | ADMIN
 EVRACP9                       | SERVER            | DELL             | POWEREDGE R620          | HP6WK02                                      | V34     | ADMIN
 EVRACR07                      | SERVER            | DELL             | POWEREDGE R620          | D357P22                                      | U34     | ADMIN
 EVRACR08                      | SERVER            | DELL             | POWEREDGE R620          | D345P22                                      | U34     | ADMIN
 EVRACR10                      | SERVER            | DELL             | POWEREDGE R620          | D354P22                                      | U34     | ADMIN
 EVRACR6                       | SERVER            | DELL             | POWEREDGE R620          | D337P22                                      | U34     | ADMIN
 EVRACR9                       | SERVER            | DELL             | POWEREDGE R620          | D355P22                                      | U34     | ADMIN
 EVRACT1                       | SERVER            | DELL             | POWEREDGE R620          | HP6SK02                                      | U34     | ADMIN
 EVRACT10                      | SERVER            | DELL             | POWEREDGE R620          | HP5SK02                                      | U34     | ADMIN
 EVRACT11                      | SERVER            | DELL             | POWEREDGE R620          | HP5ZK02                                      | U34     | ADMIN
