name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
BW01.N016,SERVER,PSSC LABS,1 RU SERVER PSSC,355940,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:23:56-04,,,EV TECH LG87,07
BW01.N017,SERVER,PSSC LABS,1 RU SERVER PSSC,355941,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:24:17-04,,,EV TECH LG87,07
BW01.N018,SERVER,PSSC LABS,1 RU SERVER PSSC,355942,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:24:44-04,,,EV TECH LG87,07
BW01.N019,SERVER,PSSC LABS,1 RU SERVER PSSC,355943,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:25:05-04,,,EV TECH LG87,07
BW01.N020,SERVER,PSSC LABS,1 RU SERVER PSSC,355944,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:12:22-04,,,EV TECH LG87,07
BW01.N021,SERVER,PSSC LABS,1 RU SERVER PSSC,355929,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 19:53:54-04,,,EV TECH LG87,07
BW01.N022,SERVER,PSSC LABS,1 RU SERVER PSSC,355930,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:25:57-04,,,EV TECH LG87,07
BW01.N023,SERVER,PSSC LABS,1 RU SERVER PSSC,355934,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:26:17-04,,,EV TECH LG87,07
BW01.N024,SERVER,PSSC LABS,1 RU SERVER PSSC,355932,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:26:43-04,,,EV TECH LG87,07
BW01.N025,SERVER,PSSC LABS,1 RU SERVER PSSC,355958,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:20:49-04,,,EV TECH LG87,07
BW01.N026,SERVER,PSSC LABS,1 RU SERVER PSSC,355953,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:28:59-04,,,EV TECH LG87,07
BW01.N027,SERVER,PSSC LABS,1 RU SERVER PSSC,355952,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:29:20-04,,,EV TECH LG87,07
BW01.N029,SERVER,PSSC LABS,1 RU SERVER PSSC,355956,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:29:41-04,,,EV TECH LG87,07
BW01.N030,SERVER,PSSC LABS,1 RU SERVER PSSC,355959,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:30:27-04,,,EV TECH LG87,07
BW01.N031,SERVER,PSSC LABS,1 RU SERVER PSSC,355955,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:20:04-04,,,EV TECH LG87,07
BW01.N032,SERVER,PSSC LABS,1 RU SERVER PSSC,355954,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:30:48-04,,,EV TECH LG87,07
BW02.MASTER.NODE,SERVER,PSSC LABS,3 RU SERVER PSSC,356760,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:32:07-04,,,EV TECH LG87,10
BW02.N001,SERVER,PSSC LABS,1 RU SERVER PSSC,356792,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:32:29-04,,,EV TECH LG87,10
BW02.N002,SERVER,PSSC LABS,1 RU SERVER PSSC,356769,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:32:48-04,,,EV TECH LG87,10
BW02.N003,SERVER,PSSC LABS,1 RU SERVER PSSC,356766,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:33:09-04,,,EV TECH LG87,10
BW02.N004,SERVER,PSSC LABS,1 RU SERVER PSSC,356767,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:33:27-04,,,EV TECH LG87,10
BW02.N005,SERVER,PSSC LABS,1 RU SERVER PSSC,356785,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 10:59:33-04,,,EV TECH LG87,10
BW02.N006,SERVER,PSSC LABS,1 RU SERVER PSSC,356787,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:07:12-04,,,EV TECH LG87,10
BW02.N007,SERVER,PSSC LABS,1 RU SERVER PSSC,356786,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:07:28-04,,,EV TECH LG87,10
BW02.N008,SERVER,PSSC LABS,1 RU SERVER PSSC,356788,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:07:48-04,,,EV TECH LG87,10
BW02.N009,SERVER,PSSC LABS,1 RU SERVER PSSC,356789,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:08:10-04,,,EV TECH LG87,10
BW02.N010,SERVER,PSSC LABS,1 RU SERVER PSSC,356763,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:08:28-04,,,EV TECH LG87,10
BW02.N011,SERVER,PSSC LABS,1 RU SERVER PSSC,356791,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:08:47-04,,,EV TECH LG87,10
BW02.N012,SERVER,PSSC LABS,1 RU SERVER PSSC,356764,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:02:29-04,,,EV TECH LG87,10
BW02.N013,SERVER,PSSC LABS,1 RU SERVER PSSC,356763_AUDIT,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-07-14 08:33:03-04,,,EV TECH LG87,10
BW02.N014,SERVER,PSSC LABS,1 RU SERVER PSSC,356761,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:00:32-04,,,EV TECH LG87,10
BW02.N015,SERVER,PSSC LABS,1 RU SERVER PSSC,356774,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:09:59-04,,,EV TECH LG87,10
BW02.N016,SERVER,PSSC LABS,1 RU SERVER PSSC,356773,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:10:20-04,,,EV TECH LG87,10
BW02.N017,SERVER,PSSC LABS,1 RU SERVER PSSC,356781,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:10:35-04,,,EV TECH LG87,10
BW02.N018,SERVER,PSSC LABS,1 RU SERVER PSSC,356770,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:10:56-04,,,EV TECH LG87,10
BW02.N019,SERVER,PSSC LABS,1 RU SERVER PSSC,356771,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:11:16-04,,,EV TECH LG87,10
BW02.N020,SERVER,PSSC LABS,1 RU SERVER PSSC,356772,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:06:22-04,,,EV TECH LG87,10
BW02.N021,SERVER,PSSC LABS,1 RU SERVER PSSC,356782,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:11:39-04,,,EV TECH LG87,10
BW02.N022,SERVER,PSSC LABS,1 RU SERVER PSSC,356778,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2019-01-16 14:31:00-05,,,EV TECH LG87,10
BW02.N023,SERVER,PSSC LABS,1 RU SERVER PSSC,356779,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:12:26-04,,,EV TECH LG87,10
BW02.N024,SERVER,PSSC LABS,1 RU SERVER PSSC,356776,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:12:48-04,,,EV TECH LG87,10
BW02.N025,SERVER,PSSC LABS,1 RU SERVER PSSC,356777,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:10:29-04,,,EV TECH LG87,10
BW02.N026,SERVER,PSSC LABS,1 RU SERVER PSSC,356775,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:13:38-04,,,EV TECH LG87,10
BW02.N027,SERVER,PSSC LABS,1 RU SERVER PSSC,356790,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:14:00-04,,,EV TECH LG87,10
BW02.N028,SERVER,PSSC LABS,1 RU SERVER PSSC,356780,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 20:08:41-04,,,EV TECH LG87,10
BW02.N029,SERVER,PSSC LABS,1 RU SERVER PSSC,356768,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:14:44-04,,,EV TECH LG87,10
BW02.N030,SERVER,PSSC LABS,1 RU SERVER PSSC,356762,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:15:03-04,,,EV TECH LG87,10
BW02.N031,SERVER,PSSC LABS,1 RU SERVER PSSC,356784,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:15:21-04,,,EV TECH LG87,10
BW02.N032,SERVER,PSSC LABS,1 RU SERVER PSSC,356765,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:15:40-04,,,EV TECH LG87,10
BW02.N033,SERVER,PSSC LABS,1 RU SERVER PSSC,356817,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:19:05-04,,,EV TECH LG87,11
BW02.N034,SERVER,PSSC LABS,1 RU SERVER PSSC,356818,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:19:23-04,,,EV TECH LG87,11
BW02.N035,SERVER,PSSC LABS,1 RU SERVER PSSC,356820,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:19:39-04,,,EV TECH LG87,11
BW02.N036,SERVER,PSSC LABS,1 RU SERVER PSSC,356819,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:21:14-04,,,EV TECH LG87,11
BW02.N037,SERVER,PSSC LABS,1 RU SERVER PSSC,356821,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:21:34-04,,,EV TECH LG87,11
BW02.N038,SERVER,PSSC LABS,1 RU SERVER PSSC,356823,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:21:52-04,,,EV TECH LG87,11
BW02.N039,SERVER,PSSC LABS,1 RU SERVER PSSC,356822,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:22:15-04,,,EV TECH LG87,11
BW02.N040,SERVER,PSSC LABS,1 RU SERVER PSSC,356812,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:22:33-04,,,EV TECH LG87,11
BW02.N041,SERVER,PSSC LABS,1 RU SERVER PSSC,356824,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:22:52-04,,,EV TECH LG87,11
BW02.N042,SERVER,PSSC LABS,1 RU SERVER PSSC,356814,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:23:08-04,,,EV TECH LG87,11
BW02.N043,SERVER,PSSC LABS,1 RU SERVER PSSC,356810,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:23:30-04,,,EV TECH LG87,11
BW02.N044,SERVER,PSSC LABS,1 RU SERVER PSSC,356815,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:23:50-04,,,EV TECH LG87,11
BW02.N045,SERVER,PSSC LABS,1 RU SERVER PSSC,356813,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:24:14-04,,,EV TECH LG87,11
BW02.N046,SERVER,PSSC LABS,1 RU SERVER PSSC,356803,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:24:32-04,,,EV TECH LG87,11
BW02.N047,SERVER,PSSC LABS,1 RU SERVER PSSC,356805,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:24:59-04,,,EV TECH LG87,11
BW02.N048,SERVER,PSSC LABS,1 RU SERVER PSSC,356804,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:25:22-04,,,EV TECH LG87,11
BW02.N049,SERVER,PSSC LABS,1 RU SERVER PSSC,356807,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:25:41-04,,,EV TECH LG87,11
BW02.N050,SERVER,PSSC LABS,1 RU SERVER PSSC,356806,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:25:59-04,,,EV TECH LG87,11
BW02.N051,SERVER,PSSC LABS,1 RU SERVER PSSC,356811,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:26:38-04,,,EV TECH LG87,11
BW02.N052,SERVER,PSSC LABS,1 RU SERVER PSSC,356798,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:27:08-04,,,EV TECH LG87,11
BW02.N053,SERVER,PSSC LABS,1 RU SERVER PSSC,356799,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:27:32-04,,,EV TECH LG87,11
BW02.N054,SERVER,PSSC LABS,1 RU SERVER PSSC,356800,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:27:50-04,,,EV TECH LG87,11
BW02.N055,SERVER,PSSC LABS,1 RU SERVER PSSC,356801,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:28:11-04,,,EV TECH LG87,11
BW02.N056,SERVER,PSSC LABS,1 RU SERVER PSSC,356793,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:28:30-04,,,EV TECH LG87,11
BW02.N057,SERVER,PSSC LABS,1 RU SERVER PSSC,356796,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-13 22:10:14-04,,,EV TECH LG87,11
BW02.N058,SERVER,PSSC LABS,1 RU SERVER PSSC,356808,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:29:30-04,,,EV TECH LG87,11
BW02.N059,SERVER,PSSC LABS,1 RU SERVER PSSC,356816,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:29:48-04,,,EV TECH LG87,11
BW02.N060,SERVER,PSSC LABS,1 RU SERVER PSSC,356794,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:30:09-04,,,EV TECH LG87,11
BW02.N061,SERVER,PSSC LABS,1 RU SERVER PSSC,356802,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:30:26-04,,,EV TECH LG87,11
BW02.N062,SERVER,PSSC LABS,1 RU SERVER PSSC,356797,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:31:05-04,,,EV TECH LG87,11
BW02.N063,SERVER,PSSC LABS,1 RU SERVER PSSC,356795,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:31:25-04,,,EV TECH LG87,11
BW02.N064,SERVER,PSSC LABS,1 RU SERVER PSSC,356809,,,RESEARCH,,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2018-05-10 11:31:47-04,,,EV TECH LG87,11
BYRD HEAD NODE 001,STORAGE,MICOWAY,3U SERVERMW,,,,RESEARCH,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2014-02-07 14:24:15-05,,,EV TECH LG87,04
BZP63W2,BLADE SERVER,DELL,DSS7500,BZP63W2,,,PRODUCTION,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2019-11-21 15:17:55-05,,,EVDC,F39
BZR63W2,BLADE SERVER,DELL,DSS7500,BZR63W2,,,PRODUCTION,,PIPS,NUIT-CI-PIPS-HPC,,2019-11-21 15:18:49-05,,,EVDC,F39
C0-0-3,STORAGE,ATIPA,2 RU SERVER AT,,,,RESEARCH,COLOCATION,SO,WCAS EARTH & PLANETARY SCIENCE - VAN DER LEE,,2017-01-24 14:38:23-05,,,EVDC,P58
C0-12-SERIAL,STORAGE,ATIPA,2 RU SERVER AT,,,,RESEARCH,COLOCATION,SO,WCAS EARTH & PLANETARY SCIENCE - VAN DER LEE,,2017-01-24 14:49:37-05,,,EVDC,P58
C0-4-7,STORAGE,ATIPA,2 RU SERVER AT,,,,RESEARCH,COLOCATION,SO,WCAS EARTH & PLANETARY SCIENCE - VAN DER LEE,,2017-01-24 14:47:23-05,,,EVDC,P58
C0-8-11,STORAGE,ATIPA,2 RU SERVER AT,,,,RESEARCH,COLOCATION,SO,WCAS EARTH & PLANETARY SCIENCE - VAN DER LEE,,2017-01-25 10:28:12-05,,,EVDC,P58
C3P0-CS.RESEARCH,SERVER,DELL,PRECISION 7820 TOWER,H23CB03,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,CHP2869,2020-04-29 16:24:19-04,957150,,CHDC,0215.37
C3P1-CS.RESEARCH,SERVER,DELL,PRECISION 7820 TOWER,H23DB03,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,CHP2869,2020-04-29 16:26:31-04,957150,,CHDC,0215.37
CABLE MANAGEMENT,CABLE MANAGEMENT,EXXACT,1 RUS,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-07-18 15:40:01-04,,,EV LEV G156,0G.02.07
CABLE MANAGEMENT -1,CABLE MANAGEMENT,EXXACT,1 RUS,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-07-18 15:40:21-04,,,EV LEV G156,0G.02.07
CABLE MANAGEMENT(1),CABLE MANAGEMENT,EXXACT,2 RUS,,,,PROVISIONING,,SO,NUIT-CI-TNS-DATANETWORK,,2015-02-17 04:03:14-05,,,CH 8602 241,0201.11
CABLE MANAGEMENT-2,CABLE MANAGEMENT,EXXACT,1 RUS,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-07-18 15:40:28-04,,,EV LEV G156,0G.02.07
CABLE MANAGEMENT(2),CABLE MANAGEMENT,EXXACT,1 RUS,,,,PROVISIONING,,SO,NUIT-CI-TNS-DATANETWORK,,2015-02-17 04:03:03-05,,,CH 8602 241,0201.11
CABLE MANAGEMENT-3,CABLE MANAGEMENT,EXXACT,1 RUS,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-07-18 15:40:33-04,,,EV LEV G156,0G.02.07
CABLE MANAGER,OTHER,CORNING,1RU RACK WIRE MANGAMENT,,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2015-05-26 11:05:45-04,,,CH 8602 243,213.01
CABLE MANAGER,CABLE MANAGEMENT,EXXACT,1 RUS,,,,PROVISIONING,,SO,NUIT-CI-SO-SERVICEOPERATION,,2018-01-31 18:07:57-05,,,EVDC,N58
CADFS,SERVER,EXXACT,ALTUS 1300,P1236070003,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-11-02 11:57:32-04,,,EV TECH LG87,01
CAJAL,UNKNOWN,COMPUMASTER,PC,RC360KKN11100500475,,,PRODUCTION,,SO,MEDICAL SCHOOL,RAMI JABAKHANJI,2018-08-23 17:28:41-04,,,EVDC,G58
CANARIE CHICAGO,NETWORK APPLIANCES,NORTEL NETWORKS,OPTICAL MULTISERVICE EDGE 6500,222014158,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:06:14-04,,,CH 8602 236,0214.03
