name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
HIHGSPEED FDR MAIN3,NETWORK SWITCH,IBM,MSX6036,23C1728,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:31-04,,,EVDC,N21
HIHGSPEED FDR MAIN4,NETWORK SWITCH,IBM,MSX6036,23C1729,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:35-04,,,EVDC,N21
HIHGSPEED FDR MAIN5,NETWORK SWITCH,IBM,MSX6036,23C1719,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:38-04,,,EVDC,N21
HIHGSPEED FDR MAIN6,NETWORK SWITCH,IBM,MSX6036,23C1717,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 08:59:41-04,,,EVDC,N21
HIHGSPEED FDR MAIN7,NETWORK SWITCH,IBM,MSX6036,23C1720,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 09:00:20-04,,,EVDC,N21
HIHGSPEED FDR MAIN8,NETWORK SWITCH,IBM,MSX6036,23C1723,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 09:00:23-04,,,EVDC,N21
HIHGSPEED FDR MAIN9,NETWORK SWITCH,IBM,MSX6036,23C1716,,,DISTRIBUTION NETWORK,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2018-10-26 09:00:26-04,,,EVDC,N21
HOLMES.ATT,SERVER,DELL,POWEREDGE 2850,34FRP71,,,RESEARCH,COLOCATION,SO,WCAS POLITICAL SCIENCE - GOLDMAN,,2017-01-23 06:19:25-05,,,EVDC,E62
HOME2,SERVER,DELL,POWEREDGE R210,1VTV7V1,,,RESEARCH,,SO,MCC ELECTRICAL ENGINEERING AND COMPUTER SCIENCE - ADMIN,,2018-10-31 08:26:49-04,,,EV TECH LG87,01
HP PROCURVE 2910A - G24,NETWORK SWITCH,HP,PROCURVE 2910AL-24G,J9145A SG0361POZB,,,ACCESS NETWORK,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,LUIS A N AMARAL,2018-05-10 11:33:18-04,,,EVDC,O58
HUAWEI 2,NETWORK APPLIANCES,HUAWEI,OSN 1800V,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:40:46-04,,,CH 8602 241,0203.08
HUEY,SERVER,DELL,POWEREDGE R710,6KBKVH1,,,RESEARCH,COLOCATION,SO,MEDICAL SCHOOL,ALEX KOGAN,2018-05-08 12:44:22-04,,,EVDC,R62
HUGIN,SERVER,SUPERMICRO,1 RU SM,29079,,,RESEARCH,COLOCATION,SO,NUIT-CI-SO-SERVICEOPERATION,MIRIAM BOON,2018-09-18 11:16:31-04,,,EVDC,P52
I62.17-01,NETWORK SWITCH,JUNIPER NETWORKS,GATEWAY SSG 140,,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 16:27:25-05,,,EVDC,I62
ICAIR-ARISTAZ-SL,NETWORK SWITCH,ARISTA NETWORKS,DCS-7124S,,,,RESEARCH,,SO,NUIT-CI-TNS-DATANETWORK,,2015-04-08 07:54:43-04,,,CH 8602 243,212.01
