                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
 CHITCSPDC                            | SERVER             | DELL              | POWEREDGE R640                        | 12R8HQ2                                                        | 0215.26
 CHNBMS01                             | SERVER             | DELL              | POWEREDGE R620                        | F2JWHX1                                                        | 0215.39
 CHRACS10                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZPRN23                                                        | 0215.27
 CHRACS11                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZQRN23                                                        | 0215.27
 CHRACS12                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZPSN23                                                        | 0215.27
 CHRACS13                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZPQN23                                                        | 0215.27
 CHRACS14                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZNRN23                                                        | 0215.27
 CHRACS5                              | SERVER             | DELL              | POWEREDGE R620                        | D347P22                                                        | 0215.27
 CHRACS6                              | SERVER             | DELL              | POWEREDGE R620                        | D356P22                                                        | 0215.27
 CHRACS7                              | SERVER             | DELL              | POWEREDGE R620                        | D364P22                                                        | 0215.27
 CHRACS8                              | SERVER             | DELL              | POWEREDGE R620                        | D346P22                                                        | 0215.27
 CHRACS9                              | SERVER             | DELL              | POWEREDGE R620                        | D344P22                                                        | 0215.27
 CHSPLIDX02                           | SERVER             | DELL              | POWEREDGE R630                        | BYQHS52                                                        | 0215.24
 CHSPLIDX03                           | SERVER             | DELL              | POWEREDGE R630                        | BVQGS52                                                        | 0215.24
 CHSPLIDX04                           | SERVER             | DELL              | POWEREDGE R620                        | 7DXOQD2                                                        | 0215.25
 CHSPLIDX05                           | SERVER             | DELL              | POWEREDGE R630                        | 7DWXPD2                                                        | 0215.25
 CHSPLSRC01                           | SERVER             | DELL              | POWEREDGE R630                        | BYPKS52                                                        | 0215.24
 CHVMBKUP01                           | SERVER             | DELL              | POWEREDGE R610                        | 6MWJKS1                                                        | 0215.29
 CHVMBKUP01A                          | SERVER             | DELL              | POWEREDGE R630                        | 8WYYHK2                                                        | 0215.26
 CHVSRX01                             | SERVER             | DELL              | POWEREDGE R630                        | HHPGHB2                                                        | 0215.27
 CHVSRX02                             | SERVER             | DELL              | POWEREDGE R630                        | HHPFHB2                                                        | 0215.27
 DKCRTL1                              | SERVER             | DELL              | POWEREDGE R710                        |                                                                | 0215.23
 FM MILLENNIUM GTWY                   | SERVER             | DELL              | POWEREDGE R210                        | 9893JM1                                                        | 0215.36
 KIS_DR-R730                          | SERVER             | DELL              | POWEREDGE R730                        | GL3CND2                                                        | 0215.23
 KIS_DR-R730^^6782                    | SERVER             | DELL              | POWEREDGE R730                        |                                                                | 
 LSTFUSION                            | SERVER             | DELL              | POWEREDGE R320                        | JD61TW1                                                        | 0215.36
 CCM CHICAGO NSM 1                    | SERVER             | PELCO             | NSM5200                               | ACVYZM0                                                        | 0215.22
 CH GARAGE 1                          | SERVER             | PELCO             | NSM5200                               | ACHNG78                                                        | 0215.22
