1              name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
101  EVESX17                       | SERVER            | DELL             | POWEREDGE R620          | 9S8JDX1                                      | S39     | ADMIN

102  EVESX18_CI                    | SERVER            | DELL             | POWEREDGE R620          | 9S8HDX1                                      | S39     | ADMIN

103  EVESX41                       | SERVER            | DELL             | POWEREDGE R620          | 2KXKV12                                      | O34     | ADMIN

104  EVESX43                       | SERVER            | DELL             | POWEREDGE R620          | 2KWMV12                                      | O34     | ADMIN

105  EVESX44                       | SERVER            | DELL             | POWEREDGE R620          | 2KXJV12                                      | R39     | ADMIN

106  EVESX57                       | SERVER            | DELL             | POWEREDGE R620          | CZ7NW12                                      | O34     | ADMIN

107  EVESX58                       | SERVER            | DELL             | POWEREDGE R620          | CZ8PW12                                      | O34     | ADMIN

108  EVESX59                       | SERVER            | DELL             | POWEREDGE R620          | CZ8NW12                                      | R39     | ADMIN

109  EVESX60                       | SERVER            | DELL             | POWEREDGE R620          | CZ7LW12                                      | P39     | ADMIN

110  EVESX61                       | SERVER            | DELL             | POWEREDGE R620          | CZ7MW12                                      | P39     | ADMIN

111  EVESX70                       | SERVER            | DELL             | POWEREDGE R630          | 7YZVC42                                      | V34     | ADMIN

112  EVESX71                       | SERVER            | DELL             | POWEREDGE R630          | 95FZC42                                      | Q39     | ADMIN

113  EVESX72                       | SERVER            | DELL             | POWEREDGE R630          | 7Z02D42                                      | Q39     | ADMIN

114  EVESX73                       | SERVER            | DELL             | POWEREDGE R630          | 7YZYC42                                      | O34     | ADMIN

115  EVESX74                       | SERVER            | DELL             | POWEREDGE R630          | CQ60V52                                      | Q34     | ADMIN

116  EVESX75                       | SERVER            | DELL             | POWEREDGE R630          | CQ61V52                                      | Q34     | ADMIN

117  EVESX76                       | SERVER            | DELL             | POWEREDGE R630          | CQ5VT52                                      | Q34     | ADMIN

118  EVESX77                       | SERVER            | DELL             | POWEREDGE R630          | CQ5YT52                                      | S39     | ADMIN

119  EVESX78                       | SERVER            | DELL             | POWEREDGE R630          | CQ6VT52                                      | S39     | ADMIN

120  EVESX79                       | SERVER            | DELL             | POWEREDGE R630          | CQ5ZT52                                      | S39     | ADMIN

121  EVESX80                       | SERVER            | DELL             | POWEREDGE R630          | CQ5XT52                                      | R39     | ADMIN

122  EVESX81                       | SERVER            | DELL             | POWEREDGE R630          | CQ5WT52                                      | R39     | ADMIN

123  EVESX82                       | SERVER            | DELL             | POWEREDGE R630          | HHXJHB2                                      | T34     | ADMIN

124  EVESX83                       | SERVER            | DELL             | POWEREDGE R630          | HHXWHB2                                      | T34     | ADMIN

125  EVESX84                       | SERVER            | DELL             | POWEREDGE R630          | HHXGHB2                                      | T34     | ADMIN

126  EVESX85                       | SERVER            | DELL             | POWEREDGE R630          | HHXKHB2                                      | T34     | ADMIN

127  EVESX86                       | SERVER            | DELL             | POWEREDGE R630          | HHXXHB2                                      | T34     | ADMIN

128  EVESX87                       | SERVER            | DELL             | POWEREDGE R630          | HHXLHB2                                      | T34     | ADMIN

129  EVESXC01N01                   | SERVER            | DELL             | POWEREDGE R620          | HLQCJH2                                      | Q39     | ADMIN

130  EVESXC01N02                   | SERVER            | DELL             | POWEREDGE R620          | HLQXHH2                                      | Q39     | ADMIN

131  EVESXC01N03                   | SERVER            | DELL             | POWEREDGE R620          | HLR0JH2                                      | Q39     | ADMIN

132  EVESXC01N04                   | SERVER            | DELL             | POWEREDGE R620          | HLQBJH2                                      | Q39     | ADMIN

133  EVESXC01N05                   | SERVER            | DELL             | POWEREDGE R620          | HLQYHH2                                      | T39     | ADMIN

134  EVESXC01N06                   | SERVER            | DELL             | POWEREDGE R620          | HLQWHH2                                      | T39     | ADMIN

135  EVESXC01N07                   | SERVER            | DELL             | POWEREDGE R620          | HLQZHH2                                      | T39     | ADMIN

136  EVESXC01N08                   | SERVER            | DELL             | POWEREDGE R620          | HLQDJH2                                      | T39     | ADMIN

137  EVESXC02N01-U39               | SERVER            | DELL             | POWEREDGE R640          | 5Y0XQP2                                      | U39     | ADMIN

138  EVESXC02N02-U39               | SERVER            | DELL             | POWEREDGE R640          | 5Y0WQP2                                      | U39     | ADMIN

139  EVESXC0307N-P39               | SERVER            | DELL             | POWEREDGE R640          | 3CP9H13                                      | P39     | ADMIN

140  EVESXC03N01-V34               | SERVER            | DELL             | POWEREDGE R640          | 38W4H13                                      | V34     | ADMIN

141  EVESXC03N02-V34               | SERVER            | DELL             | POWEREDGE R640          | 38V9H13                                      | V34     | ADMIN

142  EVESXC03N03-V34               | SERVER            | DELL             | POWEREDGE R640          | 38W3H13                                      | V34     | ADMIN

143  EVESXC03N04-P39               | SERVER            | DELL             | POWEREDGE R640          | 3CQ4H13                                      | P39     | ADMIN

144  EVESXC03N05-P39               | SERVER            | DELL             | POWEREDGE R640          | 2CFYG13                                      | P39     | ADMIN

145  EVESXC03N06-P39               | SERVER            | DELL             | POWEREDGE R640          | 3CQ6H13                                      | P39     | ADMIN

146  EVESXC04N01-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ8H13                                      | V34     | ADMIN

147  EVESXC04N02-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ9H13                                      | V34     | ADMIN

148  EVESXC04N03-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ7H13                                      | V34     | ADMIN

149  EVESXC04N04-V34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ3H13                                      | V34     | ADMIN

150  EVESXC04N05-Q34               | SERVER            | DELL             | POWEREDGE R640          | 3CR3H13                                      | Q34     | ADMIN

151  EVESXC04N06-Q34               | SERVER            | DELL             | POWEREDGE R640          | 3CP8H13                                      | Q34     | ADMIN

152  EVESXC04N07-Q34               | SERVER            | DELL             | POWEREDGE R640          | 3CQ5H13                                      | Q34     | ADMIN

