 fin_ops_asset_tag |  fin_ops_serial   | fin_ops_po |   dct_po   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
 00079281          | G4S7HH2           | PUR1125517 | PUR1125517 | G4S7HH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSPRD
 00079279          | G4S5HH2           | PUR1125517 | PUR1125517 | G4S5HH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSPRDDATE
 00079282          | G4S6HH2           | PUR1125517 | PUR1125517 | G4S6HH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSTST
 00079280          | G4RBHH2           | PUR1125517 | PUR1125517 | G4RBHH2                                      | DELL          | POWEREDGE R730XD    | SERVER   | RISAOPSTSTDAT
 N0019742          | 175LN22           | PUR0765232 | PUR0765232 | 175LN22                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7APP
 N0031720          | CV4MW12           | PUR0750793 | PUR0750793 | CV4MW12                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7APPTEST
 N0031723          | 175KN22           | PUR0765232 | PUR0765232 | 175KN22                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7DAT
 N0031721          | CV3PW12           | PUR0750793 | PUR0750793 | CV3PW12                                      | DELL          | POWEREDGE R720XD    | SERVER   | RISEIRB7DATTEST
                   |                   |            | PUR0883531 | 10V0V52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP01A
 00081498          | 10TYT52           | PUR0883531 | PUR0883531 | 10TYT52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP02A
 00081497          | 10TXT52           | PUR0883531 | PUR0883531 | 10TXT52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP03A
 N0031696          | 10TZT52           | PUR0883531 | PUR0883531 | 10TZT52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP04A
                   |                   |            | PUR1563937 | 8TFH333                                      | DELL          | POWEREDGE R640      | SERVER   | VMBKUP05A
                   |                   |            | PUR1178849 | 8WYXHK2                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP05A-OLD
 00081519          | GF2GR52           | PUR0864573 | PUR0864573 | GF2GR52                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP06
                   |                   |            | PUR1178849 | 8WYWHK2                                      | DELL          | POWEREDGE R630      | SERVER   | VMBKUP07
                   |                   |            |            | MXQ93704QX                                   | HP            | PROLIANT DL360      | SERVER   | EVCOP1
                   |                   |            |            | MKQ93704QK                                   | HP            | PROLIANT DL360      | SERVER   | EVCOP2
                   |                   |            |            | MXQ93704QZ                                   | HP            | PROLIANT DL360      | SERVER   | EVCOP3
                   |                   |            |            | ACLGRS8                                      | PELCO         | ENDURA NVR5124-6000 | SERVER   | POLICE VIDEO
                   |                   |            | PUR1021987 | 9855182                                      | CODE42        | S2-48               | STORAGE  | BACKUP3
                   |                   |            | PUR1021987 | 9875182                                      | CODE42        | S2-48               | STORAGE  | BACKUP4
                   |                   |            | PUR1021987 | 9867182                                      | CODE42        | S2-48               | STORAGE  | BACKUP5
                   |                   |            | PUR0527753 | C7KKYV1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03A
                   |                   |            | PUR0527753 | C7JMYV1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03B
                   |                   |            | PUR0527753 | C7KLYV1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPDPM03-DAS03C
                   |                   |            |            | FQH4FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01A
                   |                   |            |            | FQG5FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01B
                   |                   |            |            | FQH5FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX01-DAS01C
                   |                   |            |            | FQF5FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02A
 00079107          | 36CWGX1           | PUR0596893 |            | 36CWGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02B
 00079108          | 36DTGX1           | PUR0596893 |            | 36DTGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX02-DAS02C
 00079105          | 36CVGX1           | PUR0596893 |            | 36CVGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03A
 00079106          | 36CTGX1           | PUR0596893 |            | 36CTGX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03B
                   |                   |            |            | FQF4FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX03-DAS03C
                   |                   |            |            | FQF6FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04A
                   |                   |            |            | FQG4FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04B
