IP	Name	Module_num	Model	Serial	Software	firmware	memory	HW	Last Seen	Module ip	
129.105.254.209	ngarage-1635-esw-1	3	WS-C3850-48P-L	FOC1832X1EJ	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	4	WS-C3850-48P-L	FOC1829X170	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	5	WS-C3850-48P-L	FOC1832U1DR	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	6	WS-C3850-48P-L	FOC1830U00A	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	7	WS-C3850-48P-L	FCW1832C1AX	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.209	ngarage-1635-esw-1	8	WS-C3850-48P-L	FOC1807U0Q7	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.157	mcull-2c-esw-1	0	WS-C3750X-48P	FDO1648Z1GM	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.161	mcull-2d-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.161	mcull-2d-esw-1	1	WS-C3750X-48P	FDO1650P1AN	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.161	mcull-2d-esw-1	2	WS-C3750X-24P	FDO1643Z27L	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.158	mcull-4c-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.158	mcull-4c-esw-1	1	WS-C3750X-48P	FDO1649Z2LQ	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.158	mcull-4c-esw-1	2	WS-C3750X-24P	FDO1642P19E	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.163	mcull-4d-esw-1	0	3750-stack	0x17	15.0(2)SE2		0		4/27/20 1:00	0.0.0.0	
129.105.254.163	mcull-4d-esw-1	1	WS-C3750X-48P	FDO1650Z0UZ	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.163	mcull-4d-esw-1	2	WS-C3750X-24P	FDO1643Z27Z	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.160	mcull-b-esw-2	0	WS-C3750X-48P	FDO1444Z0ZF	15.0(2)SE2		0	V02	4/27/20 1:00	0.0.0.0	
165.124.134.19	lurie-b-esw-1	6	WS-C3850-48P-L	FOC2225X0K3	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.6.24	tech-a184-01g-esw-1	3	WS-C3850-48P-L	FCW2220C01D	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
129.105.254.165	sargent-1n-esw-1	0	3850-stack	FOC1803Y5X7	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
129.105.254.165	sargent-1n-esw-1	1	WS-C3850-48P-L	FOC1803Y5X7	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
